Title,Price,Availability,URL,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,Category,Description
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,7858914fad68493c,Books,Â£31.12,Â£31.12,Â£0.00,0,Nonfiction,"Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimistic tour de force on the promise and peril of the digital economy, from one of the most brilliant social critics of our time. Digital technology was supposed to usher in a new age of endless prosperity, but so far it has been used to put industrial capitalism on steroids, makin Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimistic tour de force on the promise and peril of the digital economy, from one of the most brilliant social critics of our time. Digital technology was supposed to usher in a new age of endless prosperity, but so far it has been used to put industrial capitalism on steroids, making it harder for people and businesses to keep up. Social networks surrender their original missions to more immediately profitable data mining, while brokerage houses abandon value investing for algorithms that drain markets and our 401ks alike--all tactics driven by the need to stoke growth by any means necessary. Instead of taking this opportunity to reprogram our economy for sustainability, we have doubled down on growth as its core command. We have reached the limits of this approach. We must escape the growth trap, once and for all.Â Media scholar and technology author Douglas Rushkoff--one of today's most original and influential thinkers--argues for a new economic program that utilizes the unique distributive power of the internet while breaking free of the winner-take-all system the growth trap leaves in its wake. Drawing on sources both contemporary and historical, Rushkoff pioneers a new understanding of the old economic paradigm, from central currency to debt to corporations and labor.Most importantly, he offers a series of practical steps for businesses, consumers, investors, and policymakers to remake the economic operating system from the inside out--and prosper along the way. Instead of boycotting Wal-Mart or overtaxing the wealthy, we simply implement strategies that foster the creation of value by stakeholders other than just ourselves. From our currency to our labor to the corporation, every aspect of the economy can be reprogrammed with minimal disruption to create a more equitably distributed prosperity for all.Inspiring and challenging, Throwing Rocks at the Google Bus provides a pragmatic, optimistic, and human-centered model for economic progress in the digital age. ...more"
This One Summer,Â£19.49,In stock,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,51653ef291ab7ddc,Books,Â£19.49,Â£19.49,Â£0.00,0,Sequential Art,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age â a story of renewal and revelation. ...more"
Thirst,Â£17.27,In stock,http://books.toscrape.com/catalogue/thirst_946/index.html,709822d0b5bcb7f4,Books,Â£17.27,Â£17.27,Â£0.00,0,Fiction,"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highway, but ambulances and police are conspicuously absent. When he decides to abandon his car and run home, he sees that the trees along the edge of a stream have been burnt, and the water in the streambed is gone. Something is very wrong.When he arrives hom On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highway, but ambulances and police are conspicuously absent. When he decides to abandon his car and run home, he sees that the trees along the edge of a stream have been burnt, and the water in the streambed is gone. Something is very wrong.When he arrives home, the power is out and there is no running water. The pipes everywhere, it seems, have gone dry. Eddie and his wife, Laura, find themselves thrust together with their neighbors while a sense of unease thickens in the stifling night air. Thirst takes place in the immediate aftermath of a mysterious disaster--the Chapmans and their neighbors suffer the effects of the heat, their thirst, and the terrifying realization that no one is coming to help. As violence rips through the community, Eddie and Laura are forced to recall secrets from their past and question their present humanity. In crisp and convincing prose, Ben Warner compels readers to do the same. What might you do to survive? ...more"
The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,4eed62cf5f8d8edf,Books,Â£19.09,Â£19.09,Â£0.00,0,Add a comment,"Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her world is turned upside down by the shooting of her father, Nicholas, and uncle, Michael, in a surprising and puzzling attack. They are the only family she has, aside from her paternal grandmother Dorothy, so when her uncle dies from the attack and her father lays comatose in I Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her world is turned upside down by the shooting of her father, Nicholas, and uncle, Michael, in a surprising and puzzling attack. They are the only family she has, aside from her paternal grandmother Dorothy, so when her uncle dies from the attack and her father lays comatose in ICU, it falls to Andrea to not only investigate who would want to kill her father and uncle, but also to oversee Harding Industries, the family company. When her fatherâs longtime attorney and one of a handful of family friends, Beth Cowling, rushes to help Andrea long distance, the youngest Harding soon finds herself surrounded by a bevy of intriguing new friends and helpers. First to arrive is Bethâs own daughter, Riva, acting as Andreaâs attorney after Andrea is violently attacked in her fatherâs home, where she grew up, forcing her to kill both would-be assassins. When Nicholasâs on again/off again lover, state prosecutor and gubernatorial hopeful Kerry Marcus, is equally at a loss to name suspects in the Harding family attacks, Riva begins her own investigation into the short list of family friends and colleagues, including Don Marshall, former colleague of Nicholasâs at Marshall Pharmaceutical, which Don now runs, and Donâs wife Karen. Marshall has a shady past, including an incident at his company that also involved Andreaâs father. She also looks closely at Marcus Ricci, father of Andreaâs closest high school friend, Jason. After Jasonâs death from leukemia, Ricci becomes like a second father to Andrea. Ricci is also widely believed to have ties to the New Jersey mob. But Beth has another contact she wants involved in the investigation, Deirdre Southington, daughter of Bethâs old friend Cordelia Southington. The Southington family has more money than God, as well as, through Deirdre, more contacts in the intriguing world of international espionage. A former NSA agent, Deirdre is mysterious and beautiful in a cold way. An eccentric who travels via private rail car, she is also extraordinarily persuasive, holding a PhD in forensic psychology that she has put to great use in both her work with the NSA and on her own, as a defender of good, rooting out evil doers and ensuring they are brought to her own brand of justice. Andrea, Riva, and Deirdre all also cast a suspicious eye on the Oakes brothers, Carlton and Jefferson, who run Oakes Industries along with their silent partner and cousin, New Jersey state senator Schuyler Colfax, who also has his eye on the governorâs seat. Oakes Industries has recently made an attempt to purchase Harding Industries, a seemingly irrational move that is rebuffed by Nicholas. What no one knows until much later is that the Oakes brothers have entered into a business deal with Russian mobster Viktor Roman, who represents the real party interested in acquiring Harding Industries, a Vor, Russian organized crime unit, with heavy international interests in the energy sector. Andrea matures quickly as she rapidly learns who she can and cannot trust during her search for the people out to kill her family. Along with her new friends and advocates, she discovers Harding Industries holds a soon to expire option to buy property that could become the source of untold billions from oil reserves, and moves in the nick of time to exercise their right to purchase. But the biggest blow for the Harding family is yet to comeâthe discovery that Viktor Roman has promised Kerry Marcus the governorâs seat in exchange for information about the Hardings, including Nicholas and Michaelâs whereabouts on the night they are shot. Ultimately, Andrea chooses to forego law school and becomes her fatherâs new partner in Harding Industries, no doubt with many adventures yet to come. Masterfully told using a smattering of historical facts along with a soundtrack of classical music masterpieces, this thriller keeps readers on edge until the very end. ...more"
The Secret of Dreadwillow Carse,Â£56.13,In stock,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,b5ea0b5dabed25a8,Books,Â£56.13,Â£56.13,Â£0.00,0,Childrens,"A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warning foretelling the fall of the Monarchy in this modern fairytale. In the center of the verdant Monarchy lies Dreadwillow Carse, a black and desolate bog that the happy people of the land do their best to ignore. Little is known about it, except for one dire warning: If any monarc A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warning foretelling the fall of the Monarchy in this modern fairytale. Â  In the center of the verdant Monarchy lies Dreadwillow Carse, a black and desolate bog that the happy people of the land do their best to ignore. Little is known about it, except for one dire warning: If any monarch enters Dreadwillow Carse, then the Monarchy will fall.Â Twelve-year-old Princess Jeniah yearns to know what the marsh could possibly conceal that might topple her familyâs thousand-year reign of peace and prosperity. Meanwhile, in the nearby town of Emberfell, where everyone lives with unending joy, a girl named Aon hides a sorrow she can never reveal. She knows that something in the carse--something that sings a haunting tune only Aon can hear--holds the cure for her sadness. Yet no matter how many times she tries to enter, the terror-inducing dreadwillow trees keep her away. After a chance meeting, Princess Jeniah and Aon hatch a plan to send Aon into the heart of the carse to unlock its darkest secret. But when Aon doesnât return, a guilt-stricken Jeniah must enter the carse to try and rescue her friend--even if it means risking the entire Monarchy. ...more"
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,142d767a56a9254d,Books,Â£56.41,Â£56.41,Â£0.00,0,Food and Drink,"THEREâS NO TIME LIKE DINNERTIME!Oh, donât get me wrong. I adore breakfast. I love lunch! But dinnertime definitely tops them all. Itâs the time of day when we reunite with our sweeties, our kids, our friends, our parents . . . and catch up on the events of the day over something mouthwatering and delicious. Dinnertime anchors us, nourishes us, and reassures us. Itâs the gr THEREâS NO TIME LIKE DINNERTIME!Oh, donât get me wrong. I adore breakfast. I love lunch! But dinnertime definitely tops them all. Itâs the time of day when we reunite with our sweeties, our kids, our friends, our parents . . . and catch up on the events of the day over something mouthwatering and delicious. Dinnertime anchors us, nourishes us, and reassures us. Itâs the greatest meal of the day!Â The Pioneer Woman Cooks: Dinnertime is a beloved collection of all the scrumptious supper recipes that make their way through my kitchen in regular rotation, from main dish salads to satisfying soups to hearty casseroles to comfort food classics . . . and everything in between. I lay out all the different ways I tackle dinner in my house, from super-quick 16-Minute Meals to make-ahead Freezer Food to irresistible pastas and a bundle of brand-new favorites of my crew.Youâll want to immediately dive into surefire hits like Tomato Soup with Parmesan Croutons, Buffalo Chicken Salad, Baked Ziti, and Shrimp Scampi. But just wait till you try the Cashew Chicken, French Dip Sandwiches, Chicken Marsala, and Beef Stroganoff. And donât even get me started on the Tomato Tart, Chicken with Mustard Cream Sauce, and Pan-Fried Pork Chops. Youâll have a very tough time deciding on a favorite!To take away the guesswork, I made sure to include all the step-by-step recipe photos I love to share, and I packed as much deliciousness into each chapter as possible. My hope is that you will turn to this book regularly to solve your dinnertime dilemmas, and that you will use these recipes to feed your family time and time again. The more stains, smudges, and smears on the pages, the better!Enjoy dinnertime in your household, friends! ...more"
The Past Never Ends,Â£56.50,In stock,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,5ee94540d0749ea0,Books,Â£56.50,Â£56.50,Â£0.00,0,Mystery,"A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose only friend has died in an unexplained accidental death. Except... The police file regarding the demise of sex worker Tanya Everly has been sealed by the order of the chief of police, and no one will talk. Warned to drop the matter, Attorney Morgan knows that if he doesn't sp A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose only friend has died in an unexplained accidental death. Except... The police file regarding the demise of sex worker Tanya Everly has been sealed by the order of the chief of police, and no one will talk. Warned to drop the matter, Attorney Morgan knows that if he doesn't speak for the dead young woman, no one will. Haunted by his discovery of the body of a prominent local oilman, Morgan pursues a quest for justice that puts his reputation, career, and life at risk. A journey that takes him into the dark shadows of the sex-for-sale business, into the marble courtrooms of Oklahoma, and into the aching loneliness of his own soul. Set in the American Southwest in the days before 9/11, The Past Never Ends is both a complex murder mystery and a meditation on the self-perpetuating nature of injustice and the ethereal nature of justice itself. ...more"
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,cedf82b5086e4691,Books,Â£45.22,Â£45.22,Â£0.00,0,Young Adult,"One class assignment. One second chance at love. The school player is all in. Now he needs to win back the sweet commitment girl who's forever owned his heart. Justin Carter has a secret. He's not the total player Fairfield Academy believes him to be. Not really. In fact, he used to be a one-woman guy...and his feelings for her never went away. Too bad he broke her heart t One class assignment. One second chance at love. The school player is all in. Now he needs to win back the sweet commitment girl who's forever owned his heart. Justin Carter has a secret. He's not the total player Fairfield Academy believes him to be. Not really. In fact, he used to be a one-woman guy...and his feelings for her never went away. Too bad he broke her heart three years ago and made sure to ruin any chance she'd ever forgive him. Peyton Williams is a liar. She pretends to be whole, counting down the days until graduation and helping her parents at the family ranch. But the truth is, she's done everything she can to get over Justin, and salvation is just around the corner. With graduation one short month away, she'll soon break free from the painful memories and start her life fresh. Of course, she has to get through working with him on one last assignment first. For Justin, nothing ever felt as right as being with Peyton, and now that fate's given him a shot at redemption, he's determined to make the most of it. And for Peyton...well, Justin Carter has always been her kryptonite. ...more"
The Nameless City (The Nameless City #1),Â£38.16,In stock,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,7d385d34d12e60ff,Books,Â£38.16,Â£38.16,Â£0.00,0,Sequential Art,"Every nation that invades the City gives it a new name. But before long, new invaders arrive and the City changes hands once again. The natives don't let themselves get caught up in the unending wars. To them, their home is the Nameless City, and those who try to name it are forever outsiders.Kaidu is one such outsider. He's a Dao born and bred--a member of the latest occu Every nation that invades the City gives it a new name. But before long, new invaders arrive and the City changes hands once again. The natives don't let themselves get caught up in the unending wars. To them, their home is the Nameless City, and those who try to name it are forever outsiders.Kaidu is one such outsider. He's a Dao born and bred--a member of the latest occupying nation. Rat is a native of the Nameless City. At first, she hates Kai for everything he stands for, but his love of his new home may be the one thing that can bring these two unlikely friends together. Let's hope so, because the fate of the Nameless City rests in their hands. ...more"
The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,d01ac97e2b8947c2,Books,Â£54.11,Â£54.11,Â£0.00,0,Fiction,"Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing of paths between Lisa Barnes, a down-on-her-luck job seeker, and Julie Forman, a personal trainer to an Olympic hopeful, forever changes the course of both women's lives. One winds up dead and the other finds herself a fugitive, hiding behind one lie aft Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing of paths between Lisa Barnes, a down-on-her-luck job seeker, and Julie Forman, a personal trainer to an Olympic hopeful, forever changes the course of both women's lives. One winds up dead and the other finds herself a fugitive, hiding behind one lie after another as a cold-blooded killer methodically hunts her. Desperately trying to stay alive, the terrified woman enlists the help of Forensic Instincts, a rogue investigative team that clandestinely operates in the gray area between legal and illegal. Safeguarding their client's deception, Forensic Instincts digs into dangerous territory as they try to find out who's after their client and why. Meanwhile, bodies are piling up in Chicago, New Jersey, and Vermont as a megalomaniacal genius will stop at nothing to eradicate anyone who threatens the success of his medical breakthrough. With an unhinged client and a monstrous criminal enterprise as its adversary, Forensic Instincts is forced into uncharted territory to protect their client and save one of their own from becoming the next corpse. Forensic Instincts is an unorthodox, criminal investigative team that carefully navigates the fine line between legal and illegal. The team consists of a behaviorist, a former Navy SEAL, a techo-wiz, an intuitive, a pickpocket, a retired FBI agent, and a human scent evidence dog."" ...more"
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,aadee1c326d286e3,Books,Â£42.96,Â£42.96,Â£0.00,0,Science,"Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatches, already carrying her full quota of tiny eggs within her undeveloped ovary. As she grows into adulthood, only a few of her eggs mature, are released into the oviduct, and are fertilized by sperm stored from copulation that took place days or weeks earlier. Within a matter of h Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatches, already carrying her full quota of tiny eggs within her undeveloped ovary. As she grows into adulthood, only a few of her eggs mature, are released into the oviduct, and are fertilized by sperm stored from copulation that took place days or weeks earlier. Within a matter of hours, the fragile yolk is surrounded by albumen and the whole is gradually encased within a turquoise jewel of a shell. Soon afterward the fully formed egg is expelled onto a bare rocky ledge, where it will be incubated for four weeks before another chick emerges and the life cycle begins again. A Bird's Egg is about how eggs in general are made, fertilized, developed, and hatched. The eggs of most birds spend just 24 hours in the oviduct; however, that journey takes 48 hours in cuckoos, which surreptitiously lay their eggs in the nests of other birds. From the earliest times, the study of birds' ovaries and ova (eggs) played a vital role in the quest to unravel the mysteries of fertilization and embryo development in humans. Birkhead uses birds' eggs as wondrous portals into natural history, enlivened by the stories of naturalists and scientists, including Birkhead and his students, whose discoveries have advanced current scientific knowledge of reproduction. ...more"
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,31075275518532d7,Books,Â£23.89,Â£23.89,Â£0.00,0,Add a comment,"Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and body, only to end up feeling frustrated, powerless, and stuck? If so, youâre not alone. But there is a way forward, a path into genuine happiness, and a way back into living the kind of life you so desperately want. This workbook will help you get started on this new journey tod Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and body, only to end up feeling frustrated, powerless, and stuck? If so, youâre not alone. But there is a way forward, a path into genuine happiness, and a way back into living the kind of life you so desperately want. This workbook will help you get started on this new journey today!Now in its second edition, The Mindfulness and Acceptance Workbook for Anxiety offers a new approach to your anxiety, fears, and your life. Within its pages, youâll find a powerful and tested set of tools and strategies to help you gain freedom from fear, trauma, worry, and all the many manifestations of anxiety and fear. The book offers an empowering approach to help you create the kind of life you so desperately want to live.Based on a revolutionary approach to psychological health and wellness called acceptance and commitment therapy (ACT), this fully revised and updated second edition offers compelling new exercises to help you create the conditions for your own genuine happiness and peace of mind. Youâll learn how your mind can trap you, keeping you stuck and struggling in anxiety and fear. Youâll also discover ways to nurture your capacity for acceptance, mindfulness, kindness, and compassion, and use these qualities to weaken the power of anxiety and fear so that you can gain the space do what truly matters to you. Now is the time.Nobody chooses anxiety. And there is no healthy way to âturn offâ anxious thoughts and feelings like a light switch. But you can learn to break free from the shackles of anxiety and fear and take back your life. The purpose of this workbook is to help you do just that. Your life is calling on you to make that choice, and the skills in this workbook can help you make it happen. You can live better, more fully, and more richly with or without anxiety and fear. This book will show you the way.This book has been awarded The Association for Behavioral and Cognitive Therapies Self-Help Seal of Merit â an award bestowed on outstanding self-help books that are consistent with cognitive behavioral therapy (CBT) principles and that incorporate scientifically tested strategies for overcoming mental health difficulties. Used alone or in conjunction with therapy, our books offer powerful tools readers can use to jump-start changes in their lives. ...more"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,0da9aa9d24677fc0,Books,Â£16.77,Â£16.77,Â£0.00,0,Nonfiction,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles?Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you'll never have to do it again. Most methods advocate a room-by-room or little-by-li Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles?Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you'll never have to do it again. Most methods advocate a room-by-room or little-by-little approach, which doom you to pick away at your piles of stuff forever. The KonMari Method, with its revolutionary category-by-category system, leads to lasting results. In fact, none of Kondo's clients have lapsed (and she still has a three-month waiting list).With detailed guidance for determining which items in your house ""spark joy"" (and which don't), this international best seller featuring Tokyo's newest lifestyle phenomenon will help you clear your clutter and enjoy the unique magic of a tidy home - and the calm, motivated mindset it can inspire. ...more"
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,8c9e6bf2467d740d,Books,Â£20.59,Â£20.59,Â£0.00,0,Default,"Slay Procrastination, Distraction, and Overwhelm!Who doesnât want more time and energy for family, friends, and personal passions? Author Helene Segura coaches real people in the real world to operate more efficiently during the workday, so they can have a life outside it. Her engaging time management program caters to diverse learning styles, offering case studies that al Slay Procrastination, Distraction, and Overwhelm!Who doesnât want more time and energy for family, friends, and personal passions? Author Helene Segura coaches real people in the real world to operate more efficiently during the workday, so they can have a life outside it. Her engaging time management program caters to diverse learning styles, offering case studies that allow readers to self-diagnose and zero in on the strategies most appropriate for them. Anyone wanting to streamline workflow and improve productivity can employ her wonderfully doable techniques â for clearing task lists, handling reminder systems, scheduling a variety of priorities, and even managing emails and phone calls. Thanks to Seguraâs astute attention to personality, The Inefficiency Assassin meets readers where they are struggling and details quick and easy-to-implement strategies to, as Segura promises, âkick chaos to the curb.â ...more"
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,acd86a5426e21ca0,Books,Â£37.13,Â£37.13,Â£0.00,0,Nonfiction,"Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and climb trees just as well as boys can. But girls often allow fear to stand in their way.In The Gutsy Girl, author Caroline Paul emboldens girls to seek out a life of exhilaration. Once a young scaredy-cat herself, Caroline decided that fear got in the way of the life she wanted-- Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and climb trees just as well as boys can. But girls often allow fear to stand in their way.In The Gutsy Girl, author Caroline Paul emboldens girls to seek out a life of exhilaration. Once a young scaredy-cat herself, Caroline decided that fear got in the way of the life she wanted--of excitement, confidence, self-reliance, friendship, and fun. She has since flown planes, rafted big rivers, climbed tall mountains, and fought fires as one of the first female firefighters in San Francisco. In The Gutsy Girl, she shares her greatest escapades as well as those of other girls and women from throughout history, and offers engaging activities such as confidence-building stances, creating a compass, positive self-talk, and using crickets to estimate outside temperatures. Each section includes a place for girls to âjournalâ their adventures, thus encouraging a new generation to develop a zest for challenges and a healthy relationship to risk. The Gutsy Girl is Lean In for young girls, a book about the glorious things that happen when you unshackle from fear and open up to exhilaration. Fully illustrated and enlivened throughout by bestselling illustrator Wendy MacNaughton's whimsical pen-and-ink drawings. ...more"
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,a30b270e25489e5c,Books,Â£56.06,Â£56.06,Â£0.00,0,Nonfiction,"Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusual cast of characters: nineteenth-century dandies, Civil War soldiers, antique cars, fantastic boats and trains, country landscapes dotted with roaming animals, and fanciful architecture. None of these existed in the actual mid-twentieth-century landscape of Deeds's own life, but Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusual cast of characters: nineteenth-century dandies, Civil War soldiers, antique cars, fantastic boats and trains, country landscapes dotted with roaming animals, and fanciful architecture. None of these existed in the actual mid-twentieth-century landscape of Deeds's own life, but rather were representations of his inner worldâan artist's poignant tribute to a faded past.Deeds lovingly bound his artwork in a cardboard and leather portfolio, a present for his mother. After being accidentally discarded in 1970, the album was rescued from the trash by a young boy and, thirty-six years later, came into the hands of artist and collector Harris Diamant, who provides the book's foreword. The Electric Pencil features all 283 of Deeds's arresting drawingsânow avidly collectedâdone on ledger sheets from State Hospital No. 3 in Nevada, Missouri, and reproduced in the sequence of the original album. The Electric Pencil introduces readers to an astonishing record of one man's unwavering artistic vision in the face of the most inhospitable conditions. ...more"
The Death of Humanity: and the Case for Life,Â£58.11,In stock,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,bd261725b99f5983,Books,Â£58.11,Â£58.11,Â£0.00,0,Philosophy,"Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia and abortion-on-demand, many are losing faith in the simple value of human life. To the disillusioned, human beings are a cosmic accident whose intrinsic value is worth no more than other animals.The Death of Humanity explores our culture's declining respe Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia and abortion-on-demand, many are losing faith in the simple value of human life. To the disillusioned, human beings are a cosmic accident whose intrinsic value is worth no more than other animals.The Death of Humanity explores our culture's declining respect for the sanctity of human life, drawing on philosophy and history to reveal the dark road ahead for society if we lose our faith in human life. ...more"
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,43c6a960757cf559,Books,Â£49.05,Â£49.05,Â£0.00,0,Health,"In his midtwenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite the fact that he was doing what doctors recommended: eating 1,800 calories a day and working out 90 minutes a day, six times a week. When his excess fat started causing brain fog and food cravings sapped his energy and willpower, Asprey turned to the same h In his midtwenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite the fact that he was doing what doctors recommended: eating 1,800 calories a day and working out 90 minutes a day, six times a week. When his excess fat started causing brain fog and food cravings sapped his energy and willpower, Asprey turned to the same hacking techniques that made his fortune to ""hack"" his own biology, investing more than $300,000 and 15 years to uncover what was hindering his energy, performance, appearance, and happiness. From private brain EEG facilities to remote monasteries in Tibet, through radioactive brain scans, blood chemistry work, nervous system testing, and more, he explored traditional and alternative technologies to reach his physical and mental prime. The result? The Bulletproof Diet, an anti-inflammatory program for hunger-free, rapid weight loss and peak performance. The Bulletproof Diet will challengeâand changeâthe way you think about weight loss and wellness. You will skip breakfast, stop counting calories, eat high levels of healthy saturated fat, work out and sleep less, and add smart supplements.In doing so, you'll gain energy, build lean muscle, and watch the pounds melt off. By ditching traditional ""diet"" thinking, Asprey went from being overweight and sick in his twenties to maintaining a 100-pound weight loss, increasing his IQ, and feeling better than ever in his forties. The Bulletproof Diet is your blueprint to a better life. ...more"
The Art Forger,Â£40.76,In stock,http://books.toscrape.com/catalogue/the-art-forger_930/index.html,80cfab6bcff3a244,Books,Â£40.76,Â£40.76,Â£0.00,0,Add a comment,"On March 18, 1990, thirteen works of art today worth over $500 million were stolen from the Isabella Stewart Gardner Museum in Boston. It remains the largest unsolved art heist in history, and Claire Roth, a struggling young artist, is about to discover that thereâs more to this crime than meets the eye.Making a living reproducing famous artworks for a popular online retai On March 18, 1990, thirteen works of art today worth over $500 million were stolen from the Isabella Stewart Gardner Museum in Boston. It remains the largest unsolved art heist in history, and Claire Roth, a struggling young artist, is about to discover that thereâs more to this crime than meets the eye.Making a living reproducing famous artworks for a popular online retailer and desperate to improve her situation, Claire is lured into a Faustian bargain with Aiden Markel, a powerful gallery owner. She agrees to forge a paintingâa Degas masterpiece stolen from the Gardner Museumâin exchange for a one-woman show in his renowned gallery. But when that very same long-missing Degas painting is delivered to Claireâs studio, she begins to suspect that it may itself be a forgery.Her desperate search for the truth leads Claire into a labyrinth of deceit where secrets hidden since the late nineteenth century may be the only evidence that can now save her life. ...more"
